29.60 	12.25 	10.49 	14.15 	8.42 	28.27 	21.48
31.97 	23.46 	19.88 	37.74 	15.27 	72.66 	58.36
30.47 	10.09 	8.39 	9.82 	7.53 	28.24 	16.37
35.45 	26.12 	23.10 	38.56 	17.50 	56.01 	56.75
34.66 	10.82 	29.58 	28.71 	17.72 	74.00 	35.78
32.12 	11.35 	20.98 	24.29 	14.37 	69.98 	30.64
35.81 	17.71 	30.03 	34.32 	20.46 	84.93 	49.88
29.93 	11.96 	7.98 	26.88 	6.42 	28.31 	37.01
37.12 	29.10 	35.25 	51.53 	25.78 	114.74 	72.39
34.92 	20.39 	49.31 	74.91 	25.97 	128.55 	73.21
33.71 	9.26 	11.70 	6.88 	11.03 	40.15 	13.31
38.28 	15.40 	12.42 	19.50 	12.18 	44.65 	37.68
29.20 	18.20 	26.33 	24.14 	16.77 	79.19 	25.18
38.81 	14.03 	25.45 	23.51 	16.10 	45.75 	33.98
38.91 	20.64 	29.32 	34.42 	20.09 	51.64 	47.00
41.43 	20.74 	39.23 	39.75 	24.16 	83.88 	50.25
32.27 	12.64 	20.85 	24.27 	15.68 	71.88 	36.12
36.81 	26.01 	83.60 	99.60 	33.44 	104.31 	84.10
34.70 	23.50 	18.90 	44.66 	13.28 	58.04 	58.89
37.16 	17.14 	8.19 	17.72 	8.29 	22.75 	58.72
29.26 	9.73 	6.47 	6.67 	5.84 	22.54 	11.91
